category,feature_name,description,how_it_works,architecture_mapping,pricing_tiers_included,list_price_or_pricing_note,report_section_reference,end_to_end_flow_regology_steps,notes_for_team
Pricing & packaging,Reggi (Free tier),Individual GenAI assistant for US laws and regulations; evaluation tier for Reggi UX,"Summarize/simplify text; query US laws; verifiable citations on responses; no Smart Law Library or change-management features",N/A — standalone assistant surface,Reggi (Free),$0 per user (published list),regology_research.md §3.1–§3.2,"N/A (chat/research only)",Use as UX/citation-quality benchmark before building GLI equivalent
Pricing & packaging,Professional tier,US-only change management with full Smart Law Library; Reggi scoped to library and alerts,"Smart Law Library US; regulatory change management and impact assessments; Reggi scoped to library + alerts; US Federal + 50 states; dashboards; in-app support",Full platform except global/GRC/compliance-management depth,Professional,"$1700 per user per month (3-year contract); Tooliverse 2026 confirms; SmartSuite third-party cited ~$1250 as alternate",regology_research.md §3.1–§3.2,"N/A (packaging)",High entry price; GLI build-vs-buy argument in report §3.4
Pricing & packaging,Enterprise tier,"Global program: multi-jurisdiction; bills; GRC; compliance management; custom API; 24/7 support","Everything in Professional plus global (135+ countries); bills and agency updates; customizable topics; 16M+ doc search; group workflows; risk/task/policy/controls; GRC connectors; REST/JSON XML CSV SFTP; customized legal research support",Enterprise integration + global corpus + compliance objects,Enterprise,Custom (contact sales); no published list price,regology_research.md §3.1–§3.2,"N/A (packaging)",Features GLI needs most (global; GLIAccess-style integrations) sit in highest-cost tier per §3.4
Pricing & packaging,Pricing watch-outs (cross-cutting),Third-party review themes affecting total cost of ownership,"Sticker shock at Professional; non-GRC sync less reliable than native GRC; HITL still required; niche/regional coverage vs curated legal DBs",N/A — commercial/ops risk,All paid tiers,"Professional list $1700/user/mo; Enterprise custom",regology_research.md §3.3,"N/A",Share with procurement and architecture risk reviews
Architecture,End-to-end platform pipeline (reconstructed),High-level flow from sources through agents to GRC and API,"Primary sources → ingestion + NLP/ML normalization → per-customer Smart Law Library → three agents (Change; Compliance; Research/Reggi) → alerts/drafts/Q&A → HITL → GRC connectors + dashboards → Open API",Sources → ingest → SLL → RCA/CA/RRA → HITL → GRC → API (mermaid §4.1),All tiers (scope differs by tier),See tier rows,regology_research.md §4.1,"§6.1 steps 1–10 for flagship change flow",Regology does not publish detailed internal diagram; this is reconstructed from public docs + reviews
Architecture,AI / NLP stack,"NLP/ML reads law like a lawyer (structure; definitions; shall/must; penalties; exemptions; cross-refs); GenAI (Reggi) wraps layer for summarization; drafting; Q&A with RAG citations","Clause/section parsing; multi-page regulatory updates synthesized vs prior version; three specialist agents coordinate retrieval + LLM + workflow",Ingest + NLP/ML core + Generative layer (Reggi) + agentic orchestration,Reggi+ (depth increases with tier),Bundled in platform,regology_research.md §4.2,"§6.1 steps 2–4; §6.3–§6.4",Key lesson: structural understanding not only embedding similarity
Architecture,Smart Law Library™ (data layer),Proprietary per-customer filtered corpus over global content; paragraph-level citations; continuous updates vs full-doc replacement,"Global corpus projected to customer legal DNA (jurisdictions; products; topics); paragraph IDs power alerts; drafts; Q&A traceability",SLL as hub feeding all agents,Professional (US SLL); Enterprise (global + 16M search),Bundled; Enterprise unlocks global scale,regology_research.md §4.3,"§6.7 step 1; §6.1 steps 2–5",GLI analog: filtered gaming corpus + GLI standards/product taxonomy
Architecture,Integration layer,Outbound formats and GRC connectors for systems of record,"REST/JSON; XML; CSV; SFTP; direct connectors (ServiceNow; Archer; Diligent; OnSpring; LogicGate; ProcessUnity; Hyperproof; ZenGRC; WolfPAC); DIY connectors on Enterprise",GRC + Open API surface,Enterprise (full); Professional excludes custom API per §3.2,Bundled in Enterprise; Professional has no custom API,regology_research.md §4.4,"§6.1 step 9; §6.4 step 7",GLI analog: SharePoint MCP / internal API first
Architecture,"Security; privacy; AI governance",SOC 2 Type II; GDPR/CCPA; no PCI on platform; Responsible AI Policy,"BARR Advisory SOC 2; privacy program; ToS excludes card data; footer Responsible AI Policy",Security/compliance plane,All tiers (posture is platform-wide),Not priced separately — subscription includes SaaS posture,regology_research.md §4.5,"§6.1 step 10 (audit)",Table stakes before GLI production data per report
Architecture,Architectural lessons for GLI (summary),Five design principles abstracted from Regology for internal build,"Separate corpus from customer view; clause-level diff; always cite; agents not monolith; API before bespoke connectors",Cross-cutting design guidance,N/A (GLI POC),N/A,regology_research.md §4.6,"N/A",Use as checklist in POC architecture reviews
Smart Law Library™,Pre-curated or imported legal register,Foundational library: choose curated packs or upload customer legal register,"Pre-curated mapped to industry/jurisdiction profiles; uploads PDF/doc/docx/txt → NLP → clauses + metadata",Ingest → SLL,Professional+ (Smart Law Library),Bundled in Professional+,regology_research.md §5.1,"§6.7 step 1",Requires mandatory metadata at ingest (see gap analysis §7.1)
Smart Law Library™,Organization by topic / department / product line,Multi-dimensional tagging as part of customer legal DNA,"Tag-based filters saved in customer profile",SLL metadata model,Professional+,Bundled,regology_research.md §5.1,"N/A",Maps to GLI product lines and standards tags
Smart Law Library™,Paragraph-level breakdown and citations,Stable citation IDs per clause for downstream alerts and drafts,"Parse sections to clauses; stable IDs referenced by alerts; Reggi; mappings",SLL → all agents,Professional+,Bundled,regology_research.md §5.1,"§6.1 steps 2–4",Critical for redline + RAG quality
Smart Law Library™,GenAI summaries over laws,Auto-summarize or extract requirements from corpus,"Reggi runs over clause corpus; summaries with inline clause citations",SLL + Reggi,Professional+ (Reggi scoped); Free has basic Reggi on US laws,Bundled; Free tier limited scope,regology_research.md §5.1,"§6.3 for Q&A pattern",Aligns with GLI cited-summary requirement
Regulatory Change Agent,Applicable alerts,Only changes matching customer legal DNA surface as alerts,"Match detected change to jurisdiction/topic/product profile before delivery",RCA on SLL + profile filter,Professional+,Bundled,regology_research.md §5.2,"§6.1 steps 5; 7",GLI POC gap: explicit applicability filter called out in §6.8 / §7.2
Regulatory Change Agent,Redlined diffs,Human-readable insert/delete/modify at clause/paragraph level,"Structural section-aware diff vs prior version; not full-document rewrite",RCA diff engine after normalization,Professional+,Bundled,regology_research.md §5.2,"§6.1 steps 3–4; 7",GLI: pair vector flags with structural diff (§7.2 lesson)
Regulatory Change Agent,Impact analysis,Who is affected; ownership and severity on accepted changes,"AI impact summary; reviewer assigns owners; due dates; severity",RCA + HITL workflow,Professional+,Bundled,regology_research.md §5.2,"§6.1 steps 8–9",Maps to GLI reviewer + downstream artifact owners
Regulatory Change Agent,Horizon scanning / bill tracking,Track proposed bills through legislative milestones,"Bills feed; status changes; alerts at milestones (introduced; committee; passed; signed)",RCA horizon module,Enterprise (Bills not in Professional per §3.2),Enterprise custom,regology_research.md §5.2,"§6.2 steps 1–6",GLI roadmap: bill table / seed acceptable in POC per refined requirements
Regulatory Change Agent,Enforcement actions tracking,Monitor agency enforcement; penalties; restitutions,"Separate feed from agency publications; tag to law and entity",RCA auxiliary feeds,Enterprise (typical positioning for advanced feeds),Enterprise custom,regology_research.md §5.2,"N/A in §6 numbered list (feed pattern)",Differentiate regulator vs market sources if GLI adds signals
Regulatory Change Agent,GenAI research on amendments,Deep-dive from alert context via Reggi,"Invoke Reggi from alert UI with change context pre-loaded",RCA + Reggi,Professional+ (Reggi scoped),Bundled,regology_research.md §5.2,"§6.1 step 6; §6.3",Same pattern as GLI relevance + summary on change events
Compliance Agent,Regulatory mapping,Link risks/policies/controls to driving legislation,"First-class clause→control links; clause updates flag control for review",Compliance Agent on SLL objects,Enterprise (compliance management in Enterprise tier per §3.2),Enterprise custom,regology_research.md §5.3,"§6.4 steps 5–7",GLI analog: clauses ↔ GLI standards ↔ products (report §8.4)
Compliance Agent,Drafting with GenAI,Draft obligations; control objectives; policy statements from regulation,"Reggi skills emit cited drafts; user edits before save",Compliance Agent + Reggi skills,Enterprise for full compliance object lifecycle; Professional has Reggi drafting in scope per platform marketing — treat compliance object sync as Enterprise,See Enterprise for GRC push; Professional includes change mgmt not full compliance mgmt per §3.2,regology_research.md §5.3,"§6.4 steps 1–7",Maps to GLIAccess update packages (report §8.3)
Compliance Agent,GRC integrations,Push/sync approved objects to vendor GRC systems,"Direct API connectors listed in §4.4",Integration layer,Enterprise,Bundled in Enterprise,regology_research.md §5.3,"§6.4 step 7",Nine named vendors in report
Compliance Agent,Task management,Tasks tied to change or compliance object,"Task records reference clause + control; status on dashboards",Compliance Agent + dashboards,Enterprise for full program; tasks appear in enterprise compliance narrative,Enterprise custom,regology_research.md §5.3,"§6.5 step 4 (remediation tasks)",Lightweight task model possible in GLI POC SQLite
Compliance Agent,Controls testing,Test effectiveness of controls with evidence,"Test plans + evidence on control objects (Enterprise-listed)",Compliance Agent,Enterprise,Bundled in Enterprise,regology_research.md §5.3,"N/A (limited public depth)",Roadmap for GLI certification test criteria linkage
