use_case,feature_id,feature,description,business_impact,priority,poc_in_2_3_days,effort_S_M_L,dependencies,owner_team,notes
UC1,UC1-001,Scheduled ingest (orchestrator),"N8N or equivalent runs per-source cadence; fetch HTML/PDF; store raw snapshot + hash.","Removes ad-hoc manual checks; proves repeatable monitoring.",must,yes,S,,Tech,"research/infra/docker-compose.yml + research/n8n/workflows/01_ingest_and_diff.json; n8n UI at localhost:5678"
UC1,UC1-002,Baseline library + metadata,"Versioned docs per jurisdiction: source URL; fetched_at; content_hash; effective_date if known.","Changes are attributable and replayable for audits / leadership questions.",must,yes,S,UC1-001,Tech,"Seed NV + NY baselines for demo"
UC1,UC1-003,Change detection (embedding + signal),"Chunk/embed vs prior baseline; flag changed sections; optional keyword flags.","Surfaces updates without rereading entire statute libraries.",must,yes,M,"UC1-001; UC1-002",Tech,"Qdrant collection per README patterns"
UC1,UC1-004,Readable structural diff,"Section/clause-level redline or side-by-side; not only blob diff.","Executives trust the UI because they see exactly what moved.",should,yes,M,UC1-003,Tech,"Pair with UC1-003 — Regology-style redlines"
UC1,UC1-005,LLM relevance score + summary,"Small LLM scores materiality to GLI; cites quoted spans; plain-English impact.","Cuts reviewer noise — largest daily time save vs raw diff lists.",should,yes,M,"UC1-003; XC-002",Business,"Reggi-style alert relevance; keep prompts versioned"
UC1,UC1-006,HITL review queue,"Approve/dismiss/assign; reviewer id; timestamp; optional reason.","Humans stay accountable; avoids blind automation risk.",must,yes,S,"UC1-004 or UC1-003",Business,"Required before SharePoint push"
UC1,UC1-007,Draft GLIAccess update package,"Generate proposed edits to requirements; templates; docs; test criteria with citations.","Turns detection into actionable certification updates — core revenue protection.",should,yes,M,"UC1-005; XC-002",Business,"Second glance optional in POC"
UC1,UC1-008,SharePoint MCP publish,"On approval push structured package via MCP; retries; idempotent naming.","Shows enterprise handoff without custom GLIAccess API in POC.",must,yes,M,UC1-006,Tech,"Use env for drive/folder; no secrets in git"
UC1,UC1-009,Stakeholder notifications,"Email and/or Teams webhook; templates for staff vs operator vs regulator placeholders.","Right stakeholders learn fast — fewer certification surprises.",should,yes,S,"UC1-008",Sales,"Demo with webhook or mailhog"
UC1,UC1-010,Notification localization stub,"EN-only for POC; optional ES toggle with locked static spans if time.","Shows global readiness without blocking spine.",stretch,partial,S,UC1-009,Business,"Roadmap tie to full dictionary-driven translation"
UC2,UC2-001,Curated mini-corpus,"NV/NY excerpts + GLI standard snippets + optional SharePoint PDF samples.","Bounded trustworthy corpus for leadership demo.",must,yes,S,,Tech,"Small files under repo or secure share"
UC2,UC2-002,Retrieval + GenAI answer,"Question → top chunks → answer with inline citation markers to chunk IDs.","Cuts internal research time; fewer wrong answers to staff.",should,yes,M,"UC2-001; XC-002",Tech,"Demo with Nevada gaming chat patterns (independent testing labs / technical-standards questions); see Chat-tab flow in poc_low_level_architecture.md §3.3"
UC2,UC2-003,Product-line filters,"Tag chunks by product family for scoped retrieval.","Matches how labs organize work; improves answer precision.",stretch,partial,S,UC2-001,Business,"Lottery / iGaming / VLT tags"
UC3,UC3-001,Horizon backlog UI,"List/cards for upcoming bills or draft rules with status.","Leadership sees proactive compliance posture.",should,yes,S,,Tech,"Single tab sufficient for POC"
UC3,UC3-002,Seeded bill / proposal record,"Manual seed 1–2 bills with metadata + external link.","Proves UX without multi-state scrapers.",must,yes,S,,Business,"Pick realistic NV/NY legislation examples"
UC3,UC3-003,Automated bill ingestion,"Scheduled scraper/API for bill status across jurisdictions.","Removes manual bill tracking at scale.",stretch,no,M,UC3-001,Tech,"Explicit roadmap item"
XC,XC-001,Human-in-the-loop (HITL),"No AI-only publish to SharePoint or external notification of unreviewed AI drafts.","Trust + liability control for regulated industry.",must,yes,S,UC1-006,Business,"Align with Regology decision-support pattern"
XC,XC-002,Mandatory citations,"LLM outputs must cite retrieved spans or clause IDs.","Prevents hallucinated certification guidance.",must,yes,S,,Tech,"Enforce in prompt + UI guards"
XC,XC-003,Audit trail & evidence locker,"Append-only log: hashes; model/prompt ids; reviewer actions; SharePoint file ids.","Demonstrates governance for execs and future SOC2 path.",should,yes,S,,Tech,"Export JSON at end of demo"
XC,XC-004,Source-health monitoring,"Per-URL last success; HTTP code; parse rate; stale alerts.","Prevents silent scraper failure — missed regulatory changes.",should,partial,S,UC1-001,Tech,"Green/yellow/red table acceptable"
XC,XC-005,Security posture narrative,"Document data handling; AI governance gaps honestly; roadmap to SOC2.","Sets enterprise buyer expectations without overclaiming.",should,yes,S,,Business,"Reference regology_research §9"
